Animal,Young,Female,Male,Collective noun,Collateral adjective,Culinary noun for meat
Peafowl,chick peachick,peahen,peacock,,pavonine,poultry
Penguin,chick nestling,,,waddle (on land) raft (in water) rookery colony huddle tuxedo,spheniscine,
Pheasant,chick,hen,cock,flock bouquet nest nide nye,phasianine,
Pig (list) Also see Boar,piglet farrow shoat/shote (just weaned),"sow (bred), gilt (not bred)","boar hog, barrow (castrated) ",drift drove sounder (older pigs) team (older pigs) litter (piglets),porcine suilline,pork ham bacon
Pigeon (list),squab squeaker,hen,cock,flock flight kit,pullastrine,squab
Pika,,,,,,
Polar bear,cub,sow,boar,aurora celebration pack,ursine,
Pony- See HorsPorcupine,pup,sow,boar,prickle,hystricine,
Porpoise,calf,cow,bull,pod school shoal,phocoenine,
Prairie dog,pup,sow,boar,town,cynomurine,
Pug,pup,bitch,dog stud sire,grumble,,
Quail,chick,hen,cock,bevy,galliformine,
Quelea,chick,hen,cock,flock,queline,
Quetzal,nestling,,,flock,trogonine,
Rabbit (list),bunny kit kitten nestling,doe jill,buck jackyoyo,nest litter (young) warren wrack (young),leporine,
Raccoon,cub kit,sow,boar,gaze nursery committee smack brace troop,procyonine,
Ram Also see Sheep,lamb,ewe,ram,flock,arietine ovine,lamb mutton
Rat (list),kitten[citation needed] pup,doe,buck,colony horde mischief,murine,
Raven,chick,hen,cock,conspiracy unkindness,corvine,
Red deer,calf,hind,stag hart,herd,,venison
Red panda,cub,sow,boar,pack,ailurid,
Reindeer (caribou),calf,cow,bull,herd,rangiferine,
Rhea,chick,,,,,
Rhinoceros,calf,cow,bull,herd crash,ceratorhine,
Rook,,,,building parliament,,
Saki,,,,,pitheciine,
Salamander,larva,,,maelstrom,caudatan salamandrine,
Salmon,parr,hen,cock,,salmonine,
Sand dollar,larva pluteus (free swimming stage) juvenile (young urchin),,,,clypeasteroid,
Sandpiper,,,,fling,scolopacine,
Sardine,,,,family ,,
Sassaby,calf,,bull,herd,alcelaphine,
Sea lion,pup calf,cow,bull,,otarine,
Seahorse,seafoal,seamare,seastallion,shoal,hippocampal,
Seal,pup,cow,bull,herd pod rookery,phoca,
Serval,kitten,,,,feline,
Shark,cub pup,,bull,shiver ,selachian squaloid,flake (AUS)
Sheep (list) Also see Ram,lamb lambkin cosset,ewe dam,ram buck wether (castrated),flock fold herd,ovine,lamb mutton hogget
Shrew,shrewlet,sow,boar,colony drove,soricine,
Shrike,chick,,,,corvid corvine,
Siamang,,,,,,
Skink,hatchling,,,,scincine scincoid,
Skipper,caterpillar,,,,papilionid,
Skunk,kit,sow,boar,surfeit,mephitine,
Sloth,kitten pup baby,sow,boar,N/A,xenarthran (broader group),
Snail,,N/A,N/A,escargatoire rout walk,gastropodian,escargot
Snake  (list),snakelet hatchling (newly hatched) neonate (newborn),N/A,N/A,nest ball slither,anguine elapine serpentine viperine ophidian,
Spider  (list),spiderling,,,cluster clutter,arachnine arachnoid,
Spoonbill,chick,,,,,
Squid,paralarva,,,shoal,Teuthidane,
Squirrel,pup kit kitten,doe,buck,scurry,sciurine,
Starling,,,,chattering murmuration,sturnine,
Stilt,chick,,,,recurvirostrid,
Swan,cygnet flapper,pen,cob,flock lamentation bevy game wedge (in flight),cygnine,
Tamarin,,,,,simian,
Tapir,calf,cow,bull,herd,tapirine,
Tarsier,,,,,tarsiine,
Termite,larva,,,colony nest swarm,isopteran,
Thrush,chick,,,,turdine,
Tiger,cub whelp,tigress,tiger,ambush streak,tigrine,
Toad,tadpole toadlet,N/A,N/A,knot,ranine batrachian,
Topi,calf,cow,bull,herd,alcelaphine,
Toucan,chick,,,,,
Turaco,,,,,,
Turkey (list),poult,hen,gobbler stag tom jake (immature),rafter,,poultry
Turtle,hatchling,N/A,N/A,bale,chelonian,
Vicuña,calf,cow,bull,posse herd,camelid,
Vinegaroon,,,,,,
Viper,hatchling,,,,viperine,
Vulture,chick,,,,,
Wallaby,joey,jill,jack,mob,,
Walrus,calf,cow,bull,herd pod,odobenine,
Wasp,larva,queen worker,drone,swarm hive colony nest,vespine,
Water buffalo,calf,cow,bull,,,carabeef
Waxwing,,,,,,
Weasel,pup kit,bitch doe jill,buck dog hub jack,gang sneak,musteline,
Whale,calf,cow,bull,pod school gam,cetacean cetaceous,blubber
Wobbegong,,,,,,
Wolf,pup puppy cub whelp,bitch she-wolf,dog,pack,lupine canine,
Wolverine,kit whelp,angeline,wolverine,pack,musteline,
Wombat,joey,jill,jack,wisdom,,
Woodpecker,chick,,,,,
Worm,,,,,caecilian,
Wren,chick,cow,bull,,troglodytine,
Yak,calf,cow,bull,herd,,
Zebra,foal colt (male) filly (female),mare,stallion,herd cohort dazzle  zeal,zebrine hippotigrine,
